food_type,vehicle_type,time_of_day,travel_hours,ambient_temp_c,humidity_pct,container_temp_c,quantity,vehicle_compatible,temp_deviation,food_sensitivity,vehicle_efficiency,spoilage_probability,spoiled,risk_level
Dairy,Refrigerated Truck,morning,15.55,25.29,69.69,5.57,516,1,1.57,0.7,0.75,0.486,0,Medium
Fruits,Frozen Container,afternoon,19.45,30.8,58.94,2.28,345,1,5.22,0.4,0.95,0.4255,0,Medium
Milk,Normal Truck,evening,18.75,21.9,44.18,20.8,547,0,17.8,0.8,0.0,0.9773,1,High
Dairy,Refrigerated Truck,afternoon,4.89,26.49,84.41,2.82,866,1,1.18,0.7,0.75,0.424,0,Medium
Meat,Normal Truck,evening,16.6,16.3,92.7,15.49,388,0,15.49,0.9,0.0,1.0,1,High
Eggs,Normal Truck,afternoon,19.84,44.48,89.69,42.25,317,0,38.75,0.6,0.0,1.0,1,High
Eggs,Frozen Container,afternoon,3.44,36.09,42.43,4.25,65,1,0.75,0.6,0.95,0.2836,0,Low
Meat,Frozen Container,afternoon,5.37,37.74,50.59,4.71,889,1,4.71,0.9,0.95,0.3894,0,Medium
Eggs,Normal Truck,afternoon,22.86,19.48,65.03,18.51,492,0,15.01,0.6,0.0,0.8646,1,High
Vegetables,Normal Truck,afternoon,26.78,32.32,64.26,30.7,413,0,24.7,0.5,0.0,0.9843,1,High
Eggs,Frozen Container,night,17.11,26.86,57.53,0.2,771,1,3.3,0.6,0.95,0.5024,1,Medium
Meat,Frozen Container,evening,26.36,15.32,88.11,-1.16,190,1,1.16,0.9,0.95,0.6198,1,High
Fish,Frozen Container,evening,2.27,15.79,44.87,-0.2,367,1,1.2,0.95,0.95,0.4103,0,Medium
Eggs,Normal Truck,afternoon,4.57,27.08,68.74,25.73,626,0,22.23,0.6,0.0,0.8089,1,High
Dairy,Normal Truck,evening,15.08,19.46,86.91,18.48,195,0,14.48,0.7,0.0,0.8077,1,High
Vegetables,Frozen Container,afternoon,24.34,24.99,72.37,3.79,856,1,2.21,0.5,0.95,0.4567,0,Medium
Dairy,Frozen Container,afternoon,19.18,22.51,94.51,-0.98,620,1,4.98,0.7,0.95,0.5525,1,Medium
Fish,Normal Truck,afternoon,8.46,22.77,52.13,21.63,802,0,20.63,0.95,0.0,0.9491,1,High
Meat,Frozen Container,night,11.8,15.87,93.3,0.18,738,1,0.18,0.9,0.95,0.5188,1,Medium
Fish,Refrigerated Truck,evening,23.23,25.44,48.46,4.78,209,1,3.78,0.95,0.75,0.7459,1,High
Fruits,Normal Truck,evening,2.98,28.42,87.31,27.0,316,0,19.5,0.4,0.0,0.7176,1,High
Vegetables,Normal Truck,morning,3.24,41.01,41.95,38.96,512,0,32.96,0.5,0.0,0.7491,1,High
Milk,Normal Truck,evening,4.44,21.13,60.5,20.07,377,0,17.07,0.8,0.0,0.8007,1,High
Meat,Refrigerated Truck,morning,8.17,36.45,44.19,2.37,642,1,2.37,0.9,0.75,0.4579,0,Medium
Fruits,Refrigerated Truck,morning,27.38,33.43,76.42,5.39,89,1,2.11,0.4,0.75,0.5211,1,Medium
Fish,Normal Truck,evening,26.28,25.63,86.04,24.34,394,0,23.34,0.95,0.0,1.0,1,High
Fruits,Refrigerated Truck,night,19.32,26.29,48.72,7.77,796,1,0.27,0.4,0.75,0.4399,0,Medium
Meat,Refrigerated Truck,night,11.38,26.15,48.84,5.34,405,1,5.34,0.9,0.75,0.5253,1,Medium
Fruits,Normal Truck,night,2.18,19.31,73.93,18.34,162,0,10.84,0.4,0.0,0.5625,1,Medium
Meat,Normal Truck,evening,5.6,19.25,41.01,18.29,282,0,18.29,0.9,0.0,0.8541,1,High
Meat,Frozen Container,night,19.71,28.98,45.64,-3.26,245,1,3.26,0.9,0.95,0.5864,1,Medium
Milk,Refrigerated Truck,afternoon,11.68,34.76,42.52,7.94,355,1,4.94,0.8,0.75,0.4668,0,Medium
Eggs,Normal Truck,night,22.99,16.95,81.7,16.1,56,0,12.6,0.6,0.0,0.9542,1,High
Fish,Refrigerated Truck,evening,14.49,19.1,94.84,4.71,148,1,3.71,0.95,0.75,0.5838,1,Medium
Eggs,Frozen Container,evening,25.13,19.48,86.2,1.8,736,1,1.7,0.6,0.95,0.4912,0,Medium
Milk,Refrigerated Truck,night,2.88,25.97,90.02,5.83,918,1,2.83,0.8,0.75,0.4553,0,Medium
Dairy,Frozen Container,morning,14.38,26.42,57.64,-2.7,983,1,6.7,0.7,0.95,0.4562,0,Medium
Eggs,Frozen Container,night,6.46,18.06,45.01,2.71,569,1,0.79,0.6,0.95,0.3649,0,Medium
Dairy,Refrigerated Truck,night,2.5,26.95,56.18,7.53,585,1,3.53,0.7,0.75,0.4113,0,Medium
Milk,Refrigerated Truck,afternoon,18.75,34.4,53.61,3.2,570,1,0.2,0.8,0.75,0.5362,1,Medium
Milk,Frozen Container,afternoon,18.3,25.26,83.87,4.84,444,1,1.84,0.8,0.95,0.5377,1,Medium
Dairy,Refrigerated Truck,afternoon,29.29,37.49,76.13,7.16,778,1,3.16,0.7,0.75,0.5535,1,Medium
Dairy,Normal Truck,night,22.28,26.24,48.03,24.93,637,0,20.93,0.7,0.0,1.0,1,High
Vegetables,Normal Truck,afternoon,23.72,43.41,43.98,41.24,274,0,35.24,0.5,0.0,0.9402,1,High
Milk,Normal Truck,morning,4.31,40.26,59.68,38.25,152,0,35.25,0.8,0.0,0.8524,1,High
Dairy,Refrigerated Truck,afternoon,25.0,19.11,76.87,5.82,921,1,1.82,0.7,0.75,0.5421,1,Medium
Fish,Frozen Container,afternoon,18.65,34.65,73.71,2.09,602,1,1.09,0.95,0.95,0.5874,1,Medium
Dairy,Refrigerated Truck,evening,24.82,16.2,89.21,5.58,949,1,1.58,0.7,0.75,0.6213,1,High
Dairy,Refrigerated Truck,evening,20.02,22.9,80.24,3.48,61,1,0.52,0.7,0.75,0.489,0,Medium
Eggs,Normal Truck,evening,3.22,17.43,41.15,16.55,772,0,13.05,0.6,0.0,0.6467,1,High
Dairy,Normal Truck,night,17.19,22.4,44.48,21.28,804,0,17.28,0.7,0.0,0.8794,1,High
Eggs,Frozen Container,morning,25.53,22.7,92.84,-0.75,73,1,4.25,0.6,0.95,0.5894,1,Medium
Vegetables,Refrigerated Truck,night,16.14,23.15,68.27,4.63,666,1,1.37,0.5,0.75,0.4242,0,Medium
Meat,Frozen Container,afternoon,24.2,35.69,94.57,4.12,235,1,4.12,0.9,0.95,0.7423,1,High
Vegetables,Frozen Container,morning,15.04,40.57,52.97,2.16,843,1,3.84,0.5,0.95,0.4256,0,Medium
Fruits,Normal Truck,afternoon,4.73,28.94,72.61,27.49,280,0,19.99,0.4,0.0,0.7301,1,High
Milk,Refrigerated Truck,evening,6.58,20.87,93.32,7.15,115,1,4.15,0.8,0.75,0.4794,0,Medium
Vegetables,Normal Truck,evening,14.71,18.54,44.04,17.61,319,0,11.61,0.5,0.0,0.7387,1,High
Meat,Normal Truck,afternoon,20.74,21.94,64.72,20.84,825,0,20.84,0.9,0.0,1.0,1,High
Dairy,Normal Truck,evening,22.62,24.96,66.1,23.71,546,0,19.71,0.7,0.0,1.0,1,High
Vegetables,Frozen Container,evening,17.63,23.1,41.88,-4.43,383,1,10.43,0.5,0.95,0.54,1,Medium
Fruits,Normal Truck,evening,8.29,17.7,44.87,16.82,210,0,9.32,0.4,0.0,0.6198,1,High
Milk,Frozen Container,afternoon,21.27,28.73,66.39,-4.95,300,1,7.95,0.8,0.95,0.6379,1,High
Milk,Frozen Container,evening,9.12,22.83,58.85,-3.6,343,1,6.6,0.8,0.95,0.4995,0,Medium
Dairy,Normal Truck,night,21.73,18.03,77.04,17.13,390,0,13.13,0.7,0.0,0.9385,1,High
Dairy,Normal Truck,evening,6.96,25.39,86.1,24.12,267,0,20.12,0.7,0.0,0.8426,1,High
Fish,Refrigerated Truck,afternoon,15.92,34.68,87.79,6.61,793,1,5.61,0.95,0.75,0.6417,1,High
Vegetables,Normal Truck,morning,8.04,35.79,61.66,34.0,118,0,28.0,0.5,0.0,0.785,1,High
Milk,Refrigerated Truck,afternoon,20.42,44.98,42.65,7.2,634,1,4.2,0.8,0.75,0.5624,1,Medium
Fish,Refrigerated Truck,morning,23.43,42.99,64.1,6.57,531,1,5.57,0.95,0.75,0.6675,1,High
Milk,Frozen Container,evening,26.33,20.64,56.33,-4.94,504,1,7.94,0.8,0.95,0.6068,1,High
Eggs,Frozen Container,morning,12.65,32.81,72.81,-1.27,785,1,4.77,0.6,0.95,0.3916,0,Medium
Vegetables,Refrigerated Truck,afternoon,18.44,22.55,75.34,5.0,991,1,1.0,0.5,0.75,0.4798,0,Medium
Meat,Refrigerated Truck,night,2.72,20.12,60.91,5.48,353,1,5.48,0.9,0.75,0.4551,0,Medium
Vegetables,Frozen Container,evening,23.42,27.19,79.5,0.21,940,1,5.79,0.5,0.95,0.5399,1,Medium
Eggs,Normal Truck,night,28.73,24.82,60.9,23.58,373,0,20.08,0.6,0.0,1.0,1,High
Fruits,Normal Truck,afternoon,7.45,22.49,73.95,21.37,422,0,13.87,0.4,0.0,0.6553,1,High
Eggs,Frozen Container,night,10.72,24.16,79.39,4.77,994,1,1.27,0.6,0.95,0.3477,0,Medium
Meat,Normal Truck,afternoon,7.07,36.39,49.98,34.57,958,0,34.57,0.9,0.0,0.8704,1,High
Milk,Refrigerated Truck,morning,9.18,44.0,66.6,6.89,824,1,3.89,0.8,0.75,0.4401,0,Medium
Vegetables,Normal Truck,afternoon,5.14,18.07,75.09,17.17,326,0,11.17,0.5,0.0,0.6569,1,High
Milk,Frozen Container,afternoon,6.89,27.74,89.82,-1.47,201,1,4.47,0.8,0.95,0.4785,0,Medium
Meat,Frozen Container,morning,10.46,37.76,86.81,1.68,216,1,1.68,0.9,0.95,0.5013,1,Medium
Milk,Frozen Container,afternoon,6.28,24.35,87.81,-2.83,722,1,5.83,0.8,0.95,0.4399,0,Medium
Milk,Refrigerated Truck,night,10.74,18.45,51.34,3.39,572,1,0.39,0.8,0.75,0.4915,0,Medium
Dairy,Normal Truck,afternoon,9.69,34.12,77.17,32.41,603,0,28.41,0.7,0.0,0.8207,1,High
Dairy,Normal Truck,evening,22.29,15.24,58.76,14.48,351,0,10.48,0.7,0.0,0.894,1,High
Meat,Frozen Container,morning,4.22,20.31,89.18,-0.99,948,1,0.99,0.9,0.95,0.3992,0,Medium
Milk,Frozen Container,afternoon,11.94,19.87,68.55,1.7,691,1,1.3,0.8,0.95,0.4621,0,Medium
Dairy,Refrigerated Truck,evening,16.92,19.87,58.32,2.31,887,1,1.69,0.7,0.75,0.4666,0,Medium
Vegetables,Refrigerated Truck,afternoon,17.62,37.73,65.59,5.48,313,1,0.52,0.5,0.75,0.483,0,Medium
Eggs,Refrigerated Truck,afternoon,13.84,40.19,40.07,5.99,449,1,2.49,0.6,0.75,0.4481,0,Medium
Vegetables,Frozen Container,night,12.71,16.8,93.58,4.92,679,1,1.08,0.5,0.95,0.3973,0,Medium
Milk,Refrigerated Truck,morning,4.6,24.94,83.33,2.77,849,1,0.23,0.8,0.75,0.4304,0,Medium
Vegetables,Refrigerated Truck,night,21.84,15.54,56.67,4.05,163,1,1.95,0.5,0.75,0.4221,0,Medium
Milk,Normal Truck,morning,10.55,28.72,64.6,27.28,245,0,24.28,0.8,0.0,0.8669,1,High
Meat,Frozen Container,afternoon,27.74,31.42,94.57,-1.09,150,1,1.09,0.9,0.95,0.5326,1,Medium
Dairy,Refrigerated Truck,morning,12.66,41.71,87.74,2.85,183,1,1.15,0.7,0.75,0.4701,0,Medium
Eggs,Refrigerated Truck,morning,11.03,18.62,48.46,4.08,980,1,0.58,0.6,0.75,0.3776,0,Medium
Milk,Refrigerated Truck,morning,15.42,26.47,73.35,5.64,882,1,2.64,0.8,0.75,0.5388,1,Medium
Dairy,Refrigerated Truck,morning,10.89,43.73,85.39,4.21,702,1,0.21,0.7,0.75,0.4567,0,Medium
